sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKExternalUUID
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,d2bc82e8-3c53-41d5-9d3d-1d42bbff3ca7
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,2bb9d681-356b-49d4-acb8-9fd7b4d82fbb
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,9ac76c0c-d44e-4844-9bab-c4a448d78947
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,e0d4baa5-b705-421e-9d9e-8a6bb5c1bbe4
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,ba46b6e1-91aa-49e9-ba11-51af4ab02b65
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,502ee3d2-1af3-41b6-a70b-5cbc4e0e9b59
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,00d5c9b1-7b99-4ec4-b156-057323185651
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,95d65ad2-b13f-45b8-8198-e77b3242f37e
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,99d30005-bce2-4a5c-b052-43d23fa98de5
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,d50df5f5-3901-4545-8578-7d3f0b30402f
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,8d5c577b-3e34-40f1-aaa5-8b688482b359
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,39eb1a21-af1b-4617-9760-8dc6f2e71b82
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,a4c50e5e-d7a6-4246-8cc1-020897e089d5
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,74ded98f-548c-42b6-bc64-ad6ba3e8fc22
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,2e2e21b6-5777-4a42-b902-bb1ef915fe65
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,92ec71eb-a0c3-413c-a896-46465a56f097
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,2a75cccc-a643-4b6e-b57f-8de94c307d0a
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,8fda052f-c6a5-49c4-b702-71ab76f0949f
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-29 05:16:27 +0000,2023-09-29 05:16:27 +0000,kg,94.6500015258789,aced42a9-8c52-4cde-a2e4-ddba95350e42
HKQuantityTypeIdentifierBodyMass,Renpho,1,"iPhone14,3",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,
HKQuantityTypeIdentifierBodyMass,YAZIO,1657,"iPhone14,3",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,ad77ebfa-faab-49f8-898d-424c8421f138
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,6a907097-cacd-491e-9243-baa8a16b43ef
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,d0c0f0bc-5647-4eaa-91c3-8fc8d4ce7be8
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,fcc118f8-fa13-4dd5-881c-4a224deca4e9
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,bddbe38a-42d4-43c1-9ff4-c9d0d18e0d5b
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,df6a55e6-161e-40ca-8ba9-ca05fa75d3c7
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,b00e6291-0fe2-41c7-be45-6f26f3618153
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,56d512b8-25cb-4465-a077-d1f2d323c976
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,be6ee310-1df1-46a6-9b4b-b13b8a924e2f
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,098e0888-11c1-4e0b-a2ba-4d10862b0b27
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,5eb4e6d7-ad66-40aa-92e8-87ee59e9db3d
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,feb9e087-5876-4838-89a4-23a60baea174
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,2e215fcd-cbb2-4cf3-bc58-19b4e698e8d0
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,e98f184c-b460-48bb-83c8-a7763b78dab7
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,8e07407e-8913-4ff7-848a-d6652491df83
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,9051b5d8-f7ff-41c0-9055-9ebfd5f2de69
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,79ec1d28-0733-4395-af10-9f2d9d227b77
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,ecc29edf-47bc-4761-ba36-ee5cd78bbff9
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,428c1994-c23e-4a87-a6c2-187825064a35
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,298029f3-1844-4d75-afcf-de33543a7e50
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,750b30af-ec56-4bf1-bbd9-286ea6363b9d
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,f73b4b84-f179-4b3c-8446-2bcd6927facb
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,ec802db2-58c2-4745-977a-a6fb01fbb122
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,574d2001-e458-4d5b-b25c-7ed2c0e58499
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,c8c0198b-bf14-4199-8a18-e36e46be53a1
HKQuantityTypeIdentifierBodyMass,YAZIO,1654,"Watch4,2",,2023-09-30 07:36:05 +0000,2023-09-30 07:36:05 +0000,kg,94.3499984741211,9419fba9-d20d-479d-bcb0-32f0e00038b7
